FECHA,Year,Month,Zona,PromDiario,Max,Min,Indice,Clase
2019-05-04,2019,5,NE,36.7,65.0,16.0,45.875,Buena
2019-05-04,2019,5,NO,35.3,53.0,26.0,44.125,Buena
2019-05-04,2019,5,SE,38.2,56.0,24.0,47.75,Buena
2019-05-04,2019,5,SO,27.1,44.0,6.0,33.875,Buena
2019-05-05,2019,5,CE,35.4,54.0,18.0,44.25,Buena
2019-05-05,2019,5,NE,39.9,63.0,15.0,49.875,Buena
2019-05-05,2019,5,NO,36.7,59.0,12.0,45.875,Buena
2019-05-05,2019,5,SE,41.6,63.0,21.0,51.865,Regular
2019-05-05,2019,5,SO,35.6,50.0,9.0,44.5,Buena
2019-05-06,2019,5,CE,11.5,29.0,1.0,14.375,Buena
2019-05-06,2019,5,NE,11.1,30.0,1.0,13.875,Buena
2019-05-06,2019,5,SE,6.2,15.0,2.0,7.75,Buena
2019-05-06,2019,5,SO,8.4,18.0,1.0,10.5,Buena
2019-05-07,2019,5,CE,22.8,61.0,5.0,28.5,Buena
2019-05-07,2019,5,NE,21.4,50.0,1.0,26.75,Buena
2019-05-07,2019,5,SE,21.0,39.0,5.0,26.25,Buena
2019-05-07,2019,5,SO,19.5,52.0,2.0,24.375,Buena
2019-05-08,2019,5,CE,15.5,36.0,7.0,19.375,Buena
2019-05-08,2019,5,NE,15.8,40.0,4.0,19.75,Buena
2019-05-08,2019,5,SE,11.9,23.0,2.0,14.875,Buena
2019-05-08,2019,5,SO,14.4,27.0,4.0,18.0,Buena
2019-05-09,2019,5,CE,17.1,43.0,1.0,21.375,Buena
2019-05-09,2019,5,NE,17.2,40.0,1.0,21.5,Buena
2019-05-09,2019,5,NO,25.8,51.0,4.0,32.25,Buena
2019-05-09,2019,5,SE,16.8,45.0,2.0,21.0,Buena
2019-05-09,2019,5,SO,19.4,41.0,8.0,24.25,Buena
2019-05-10,2019,5,CE,15.9,35.0,3.0,19.875,Buena
2019-05-10,2019,5,NE,14.1,46.0,1.0,17.625,Buena
2019-05-10,2019,5,NO,21.7,59.0,3.0,27.125,Buena
2019-05-10,2019,5,SE,17.1,51.0,3.0,21.375,Buena
2019-05-10,2019,5,SO,15.5,32.0,2.0,19.375,Buena
2019-05-11,2019,5,CE,23.4,43.0,9.0,29.25,Buena
2019-05-11,2019,5,NE,20.7,60.0,1.0,25.875,Buena
2019-05-11,2019,5,NO,24.3,53.0,5.0,30.375,Buena
2019-05-11,2019,5,SE,26.7,49.0,10.0,33.375,Buena
2019-05-11,2019,5,SO,16.4,47.0,4.0,20.5,Buena
2019-05-12,2019,5,CE,27.9,58.0,9.0,34.875,Buena
2019-05-12,2019,5,NE,26.8,54.0,9.0,33.5,Buena
2019-05-12,2019,5,NO,24.5,58.0,3.0,30.625,Buena
2019-05-12,2019,5,SE,31.0,60.0,7.0,38.75,Buena
2019-05-12,2019,5,SO,18.9,47.0,2.0,23.625,Buena
2019-05-14,2019,5,NE,52.6,64.0,41.0,67.718,Regular
2019-05-14,2019,5,NO,36.6,60.0,17.0,45.75,Buena
2019-05-15,2019,5,NE,54.1,70.0,39.0,69.879,Regular
2019-05-15,2019,5,NO,45.9,61.0,18.0,58.062,Regular
2019-05-16,2019,5,NO,48.3,60.0,38.0,61.521,Regular
2019-05-17,2019,5,CE,31.9,54.0,2.0,39.875,Buena
2019-05-17,2019,5,NE,34.8,67.0,10.0,43.5,Buena
2019-05-17,2019,5,NO,40.3,61.0,21.0,0.0,Buena
2019-05-17,2019,5,SE,33.3,55.0,1.0,41.625,Buena
2019-05-17,2019,5,SO,33.1,58.0,4.0,41.375,Buena
2019-05-18,2019,5,CE,26.8,54.0,4.0,33.5,Buena
2019-05-18,2019,5,NE,33.6,65.0,12.0,42.0,Buena
2019-05-18,2019,5,NO,30.6,58.0,4.0,38.25,Buena
2019-05-18,2019,5,SE,30.0,49.0,9.0,37.5,Buena
2019-05-18,2019,5,SO,25.3,56.0,4.0,31.625,Buena
2019-05-19,2019,5,CE,25.9,47.0,1.0,32.375,Buena
2019-05-19,2019,5,NE,27.1,59.0,6.0,33.875,Buena
2019-05-19,2019,5,NO,27.9,49.0,7.0,34.875,Buena
2019-05-19,2019,5,SE,27.0,48.0,6.0,33.75,Buena
2019-05-19,2019,5,SO,27.8,58.0,11.0,34.75,Buena
2019-05-20,2019,5,CE,29.2,58.0,6.0,36.5,Buena
2019-05-20,2019,5,NE,30.6,66.0,6.0,38.25,Buena
2019-05-20,2019,5,NO,30.4,51.0,8.0,38.0,Buena
2019-05-20,2019,5,SE,29.4,48.0,4.0,36.75,Buena
2019-05-20,2019,5,SO,31.7,60.0,11.0,39.625,Buena
2019-05-21,2019,5,CE,29.3,49.0,2.0,36.625,Buena
2019-05-21,2019,5,NE,32.1,52.0,10.0,40.125,Buena
2019-05-21,2019,5,NO,30.8,52.0,6.0,38.5,Buena
2019-05-21,2019,5,SE,36.5,57.0,9.0,45.625,Buena
2019-05-21,2019,5,SO,34.4,53.0,4.0,43.0,Buena
2019-05-22,2019,5,CE,27.0,47.0,12.0,33.75,Buena
2019-05-22,2019,5,NE,26.9,52.0,6.0,33.625,Buena
2019-05-22,2019,5,NO,28.6,58.0,4.0,35.75,Buena
2019-05-22,2019,5,SE,27.0,58.0,1.0,33.75,Buena
2019-05-22,2019,5,SO,20.7,40.0,3.0,25.875,Buena
2019-05-23,2019,5,CE,29.4,45.0,8.0,36.75,Buena
